gene,Extracellular region,Plasma membrane,Cytoskeleton,Nucleus,Mitochondrion,Peroxisome,Endoplasmic reticulum,Endosome,Cytosol,Lysosome,Golgi apparatus
18S_rRNA,2.6710000000000003,2.495,2.7119999999999997,3.077,2.8819999999999997,1.784,2.1430000000000002,1.6469999999999998,2.6060000000000003,1.849,1.855
28S_rRNA,1.8659999999999999,1.651,1.965,2.6830000000000003,2.648,0.72,1.7690000000000001,1.463,2.0909999999999997,1.2690000000000001,1.621
45S_rRNA,0.552,0.0,0.7979999999999999,1.976,1.015,0.0,0.0,0.0,0.934,0.0,0.0
5S_rRNA,1.681,1.3769999999999998,1.659,2.556,2.21,0.69,1.079,0.621,2.1069999999999998,0.0,2.104
7SK,1.189,1.208,1.351,2.582,1.183,0.0,0.898,0.629,1.082,0.0,0.0
A1BG,5.0,3.113,1.761,1.794,1.459,0.7140000000000001,1.974,0.977,1.6640000000000001,1.6,1.001
A1CF,1.161,0.0,0.792,5.0,0.745,0.0,3.208,0.0,1.232,0.0,0.0
A2M,4.796,2.54,1.819,2.847,1.676,0.8059999999999999,1.681,1.636,4.561,2.0540000000000003,1.521
A2ML1,5.0,2.289,0.9079999999999999,1.3840000000000001,0.8640000000000001,0.0,0.141,0.0,0.516,0.0,0.141
A3GALT2,0.696,0.84,0.0,0.758,0.0,0.888,0.768,1.3230000000000002,0.0,1.7619999999999998,3.5469999999999997
A4GALT,1.66,2.08,1.416,1.821,2.576,1.141,1.7269999999999999,1.103,2.225,1.091,5.0
A4GNT,2.825,0.281,0.0,0.0,0.0,0.0,0.188,0.0,0.0,0.281,4.613
AAAS,1.749,1.979,5.0,5.0,1.423,0.188,1.365,1.113,4.626,1.2690000000000001,0.875
AACS,1.561,1.5190000000000001,1.33,2.588,1.9580000000000002,2.182,1.334,0.731,4.552,0.841,0.605
AACT,5.0,1.745,2.407,5.0,1.617,1.1159999999999999,1.6469999999999998,0.805,1.881,4.343,1.242
AADAC,2.444,0.643,0.0,0.889,1.109,1.185,5.0,0.0,1.2890000000000001,0.871,2.02
AADACL2,5.0,0.0,0.0,0.0,0.0,0.0,1.031,0.0,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.392,0.0,0.0,0.0,0.426
AADACL4,0.0,0.315,0.0,0.0,0.0,0.6629999999999999,0.0,0.0,0.0,0.0,0.33899999999999997
AADAT,1.636,2.705,1.3730000000000002,1.396,4.54,0.907,0.0,0.0,1.198,0.0,0.0
AAED1,0.732,0.0,0.0,1.484,0.9209999999999999,0.75,0.0,0.0,1.484,0.0,0.0
AAGAB,2.25,0.0,0.0,4.356,0.375,0.0,0.18,0.0,4.355,0.0,0.5760000000000001
AAK1,1.0490000000000002,4.575,1.3730000000000002,4.083,2.135,0.0,0.895,1.6980000000000002,4.766,1.215,1.483
AAMDC,0.375,0.0,0.52,3.016,1.3030000000000002,0.375,0.375,0.0,2.452,0.0,0.0
AAMP,4.317,5.0,4.223,2.08,0.8959999999999999,0.0,0.0,0.0,4.388999999999999,0.0,0.0
AANAT,2.2680000000000002,1.886,1.4980000000000002,2.6010000000000004,1.95,0.293,1.255,1.1640000000000001,4.485,1.21,1.047
AAR2,0.0,0.0,0.0,3.9819999999999998,0.9159999999999999,0.371,0.0,0.0,2.67,0.0,0.0
AARD,1.416,0.0,0.0,2.019,0.0,0.0,0.0,0.0,1.453,0.0,0.0
AARS,4.29,2.028,1.54,2.915,4.1339999999999995,1.026,1.464,0.6659999999999999,4.861000000000001,0.978,1.15
AARS2,0.742,0.557,0.722,1.534,5.0,0.0,0.9209999999999999,0.0,3.157,0.0,0.804
AARSD1,0.504,0.0,0.0,4.143,0.602,0.0,0.0,0.0,0.564,0.0,0.0
AASDH,0.0,0.375,0.0,2.8280000000000003,1.307,1.345,0.0,0.0,2.968,0.0,0.0
AASDHPPT,4.316,1.774,1.556,2.935,3.3489999999999998,0.97,1.3019999999999998,0.58,4.387,1.235,0.5
AASS,0.565,0.0,0.68,1.278,4.574,0.608,0.0,0.0,1.083,0.0,0.0
AATF,1.68,1.893,2.6010000000000004,5.0,1.815,0.569,1.329,0.9079999999999999,2.8280000000000003,1.141,2.484
AATK,1.517,3.032,1.2919999999999998,1.68,2.827,0.188,0.778,1.431,1.86,0.188,0.982
ABALON,1.016,0.8859999999999999,0.509,0.795,0.0,0.0,0.589,0.0,0.0,0.0,0.0
ABAT,1.122,1.048,0.856,1.2890000000000001,5.0,0.8340000000000001,0.0,0.0,1.797,0.0,0.0
ABCA1,3.213,5.0,2.075,3.438,2.372,2.43,4.489,5.0,2.375,2.437,3.147
ABCA10,1.218,3.448,0.6890000000000001,0.825,0.898,0.9790000000000001,0.89,0.653,0.865,0.75,0.0
ABCA12,1.557,4.441,1.4780000000000002,1.6280000000000001,1.2990000000000002,1.421,1.325,1.0190000000000001,2.78,1.081,1.558
ABCA13,1.238,4.695,1.057,1.0859999999999999,1.129,1.1079999999999999,1.159,0.0,0.9520000000000001,4.14,1.14
ABCA2,1.4340000000000002,5.0,4.263999999999999,1.334,1.206,1.354,1.393,5.0,1.084,5.0,1.465
ABCA3,4.356,5.0,1.903,2.648,1.432,1.4240000000000002,1.699,1.564,2.657,1.761,1.945
ABCA4,1.8330000000000002,4.734,1.744,1.874,1.781,1.109,5.0,1.207,1.715,1.807,1.003
ABCA5,1.2770000000000001,3.4,0.948,1.114,1.18,1.3330000000000002,1.12,3.375,0.871,4.266,3.313
ABCA6,1.239,4.678999999999999,0.8340000000000001,4.1739999999999995,0.95,1.022,0.925,0.583,1.008,0.8170000000000001,0.703
ABCA7,2.006,4.75,1.624,1.631,1.614,1.1840000000000002,3.84,3.6310000000000002,2.423,1.5530000000000002,4.485
ABCA8,1.383,4.5089999999999995,1.0090000000000001,1.044,1.091,1.2209999999999999,0.986,0.0,0.821,0.7979999999999999,0.0
ABCA9,1.227,3.342,1.003,0.948,1.171,1.329,1.149,0.603,1.001,0.741,0.0
ABCB1,4.5169999999999995,4.838,2.485,3.543,2.386,1.985,2.104,2.104,3.363,2.209,1.845
ABCB10,1.17,3.188,0.912,1.2819999999999998,5.0,1.567,1.5390000000000001,1.1320000000000001,1.7109999999999999,1.295,0.727
ABCB11,4.409,4.851,1.681,3.08,2.1519999999999997,2.289,2.024,1.605,2.935,1.571,1.4240000000000002
ABCB4,4.42,5.0,4.525,4.593999999999999,1.82,1.945,1.828,1.3219999999999998,4.53,1.409,1.258
ABCB5,1.959,5.0,1.528,1.8030000000000002,2.153,1.66,1.8969999999999998,1.3840000000000001,1.831,1.5119999999999998,0.986
ABCB6,4.395,5.0,1.8,4.405,5.0,1.3769999999999998,5.0,4.309,4.418,1.621,5.0
ABCB7,1.217,2.949,0.809,1.663,5.0,1.545,1.21,1.236,2.153,1.253,1.011
ABCB8,0.885,4.553999999999999,0.593,4.458,4.612,1.264,1.401,0.88,1.4369999999999998,1.2930000000000001,0.5489999999999999
ABCB9,1.117,3.428,1.015,1.001,1.227,1.041,5.0,0.92,1.4509999999999998,5.0,0.564
ABCC1,4.459,4.86,2.0869999999999997,2.3209999999999997,2.156,1.2930000000000001,1.8230000000000002,1.5290000000000001,2.136,1.804,1.423
ABCC10,1.138,4.666,1.379,1.38,1.3459999999999999,0.9129999999999999,1.272,0.0,1.251,4.1930000000000005,0.0
ABCC11,4.238,5.0,1.114,1.207,1.031,0.966,1.273,0.0,1.125,0.6809999999999999,0.922
ABCC12,1.063,3.55,0.617,1.114,1.1640000000000001,1.262,1.115,0.0,1.083,0.594,0.85
