gene,Extracellular region,Plasma membrane,Cytoskeleton,Nucleus,Mitochondrion,Peroxisome,Endoplasmic reticulum,Endosome,Cytosol,Lysosome,Golgi apparatus
1600020E01Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.5589999999999999,0.0,0.0,0.0,0.0
1700020I14Rik,0.0,0.0,0.0,0.8240000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2310043L19Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.5589999999999999,0.0,0.0,0.0,0.0
2700046G09Rik,0.0,0.0,0.0,0.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3930402G23Rik,0.0,0.0,0.0,0.0,0.561,0.0,0.0,0.0,0.0,0.0,0.0
5031425E22Rik,0.0,0.0,0.0,0.0,0.659,0.0,0.0,0.0,0.0,0.0,0.0
5830432E09Rik,0.7290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6030443J06Rik,0.0,0.0,0.0,0.0,0.659,0.0,0.0,0.0,0.0,0.0,0.0
7SK,0.0,0.0,0.688,1.7369999999999999,0.0,0.0,0.0,0.0,0.512,0.0,0.0
A1bg,4.5360000000000005,2.178,0.8370000000000001,1.115,1.084,0.0,0.537,0.0,1.016,1.128,0.0
A1cf,1.459,1.545,1.916,5.0,1.548,0.59,3.5839999999999996,0.0,2.438,0.889,0.0
A2m,4.569,2.721,1.6540000000000001,1.7409999999999999,1.653,0.7390000000000001,2.11,1.416,1.768,1.86,1.8
A330094K24Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.706,0.0,0.0
A3galt2,1.08,1.401,0.0,2.117,0.0,1.4269999999999998,1.073,1.815,1.8869999999999998,2.182,4.625
A4galt,1.222,1.6119999999999999,0.595,1.02,0.45299999999999996,0.45299999999999996,1.4409999999999998,1.105,1.4340000000000002,1.097,4.337
A4gnt,3.0610000000000004,0.0,0.0,0.0,0.0,0.0,0.188,0.0,0.0,0.188,4.018
A830039N20Rik,0.0,0.0,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA386476,0.375,0.0,0.0,2.4,0.0,0.0,0.0,0.0,1.3119999999999998,0.0,0.0
AA467197,1.518,0.0,0.0,4.151,4.225,0.562,0.0,0.0,0.8440000000000001,0.0,0.0
AA474408,1.219,0.0,0.0,0.498,1.172,0.344,0.0,0.0,0.8440000000000001,0.0,0.0
AA792892,1.031,0.498,0.0,1.031,0.0,0.203,0.0,0.0,1.219,0.0,0.0
AA986860,0.6859999999999999,4.144,0.0,2.0580000000000003,0.7090000000000001,0.0,0.0,0.768,4.33,0.0,0.281
AA987161,0.0,0.0,0.0,2.792,0.0,0.0,0.0,0.0,1.547,0.0,0.0
AB041806,1.594,0.0,0.0,0.375,0.562,0.0,0.0,0.0,0.872,0.0,0.0
AB124611,2.719,1.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF067063,0.64,0.0,1.024,0.755,0.541,0.0,0.0,0.0,0.5660000000000001,0.0,0.0
AF251705,1.7109999999999999,5.0,0.0,0.547,1.969,0.0,0.0,0.9129999999999999,0.0,0.188,0.0
AF366264,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,1.781,0.0,0.0
AF529169,0.682,4.121,0.0,1.145,0.375,0.375,0.6559999999999999,0.0,0.938,0.0,0.375
AI118078,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0360000000000005,0.0,0.0
AI182371,2.438,0.0,0.0,0.0,0.281,0.0,0.0,0.0,0.0,0.281,0.0
AI314180,0.845,0.631,4.203,4.51,0.8909999999999999,0.5870000000000001,4.203,4.13,2.322,0.737,0.0
AI317395,0.0,4.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI413582,1.406,1.393,0.0,0.0,0.188,0.469,0.281,0.0,0.188,0.0,0.0
AI429214,0.0,0.188,0.0,2.344,0.0,0.0,0.0,0.0,0.281,0.0,0.0
AI462493,2.062,0.0,0.0,0.764,4.266,0.0,0.0,0.0,0.0,0.188,0.0
AI464131,0.0,2.625,0.6779999999999999,5.0,0.0,0.0,5.0,0.0,0.188,0.0,0.639
AI467606,1.031,0.8640000000000001,0.0,0.562,0.32799999999999996,0.23399999999999999,0.469,0.0,0.23399999999999999,0.0,0.23399999999999999
AI481877,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
AI593442,1.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI597479,0.0,0.0,0.0,2.3569999999999998,0.0,0.0,0.0,0.0,0.562,0.0,0.0
AI606181,2.3569999999999998,0.0,0.0,0.281,1.594,0.0,0.0,0.0,0.0,0.0,0.0
AI607873,0.0,0.0,0.0,2.9139999999999997,0.0,0.0,0.0,0.0,2.074,0.0,0.0
AI661453,0.469,0.469,0.0,1.999,0.469,0.469,0.0,0.0,0.938,0.0,0.469
AI747448,1.4509999999999998,0.7609999999999999,0.0,0.0,0.0,1.594,0.375,0.0,0.0,0.212,0.0
AI837181,1.406,0.0,0.0,0.8909999999999999,0.0,0.289,0.0,0.0,0.9840000000000001,0.0,0.0
AI846148,0.0,0.0,0.0,1.6880000000000002,0.0,0.0,0.0,0.0,1.6880000000000002,0.0,0.0
AI848285,0.56,3.213,0.0,0.6990000000000001,0.0,0.0,0.0,0.0,0.603,0.0,0.0
AI987944,0.0,0.0,0.0,2.8539999999999996,0.0,0.0,0.0,0.0,1.594,0.0,0.0
AK010878,0.0,0.0,0.0,4.0,0.775,0.0,0.0,0.0,4.0,0.0,0.0
AK129341,0.0,0.0,4.184,2.439,0.0,0.0,0.0,0.0,0.562,0.0,0.0
AK157302,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
AU015836,0.8029999999999999,0.0,0.0,1.219,0.281,0.0,0.0,0.0,2.265,0.0,0.0
AU016765,1.3119999999999998,0.0,0.0,0.8909999999999999,0.0,0.0,0.0,0.0,0.8909999999999999,0.0,0.0
AU018091,0.0,2.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU019823,0.0,0.0,0.0,2.8569999999999998,1.391,0.0,0.0,0.0,0.922,0.0,0.0
AU021092,3.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.804,0.0
AU022252,0.0,0.0,0.0,1.453,0.0,0.0,0.0,0.0,2.156,0.0,0.0
AU022751,0.0,0.0,0.0,2.531,0.0,0.0,0.0,0.0,1.547,0.0,0.0
AU040320,0.924,4.269,0.909,4.334,0.281,0.375,0.0,1.15,0.961,0.0,5.0
AU041133,0.0,0.0,0.0,2.8289999999999997,0.0,0.0,0.0,0.0,1.594,0.0,0.0
AV320801,0.0,0.0,0.0,1.453,0.188,0.8909999999999999,0.0,0.0,1.453,0.0,0.0
AW011738,0.6559999999999999,0.0,0.0,1.05,1.359,0.0,0.0,0.0,0.9840000000000001,0.0,0.0
AW112010,2.906,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
AW146154,0.0,0.0,0.0,2.845,0.0,0.0,0.0,0.0,1.547,0.0,0.0
AW209491,0.0,0.0,0.0,1.547,0.0,0.0,0.0,0.0,2.156,0.0,0.0
AW549877,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.24,0.0,0.0
AW551984,0.469,0.0,0.0,0.9840000000000001,0.8440000000000001,0.469,0.0,0.0,0.938,0.0,0.0
AW554918,0.0,0.0,0.598,1.686,0.0,0.0,0.0,0.0,1.3119999999999998,0.0,0.0
AW822073,1.05,0.718,0.833,2.435,0.0,0.0,0.0,0.0,1.767,0.0,0.0
AY074887,0.0,0.469,0.0,1.031,1.114,0.188,0.188,0.0,0.703,0.0,0.0
AY358078,0.0,0.0,0.0,1.266,0.281,0.0,0.0,0.0,1.594,0.0,0.0
AY761184,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AY761185,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaas,1.6980000000000002,2.051,4.345,4.515,1.276,0.0,1.0290000000000001,0.961,4.487,1.171,0.77
Aacs,1.3730000000000002,1.3019999999999998,1.199,2.591,1.7269999999999999,2.137,1.186,0.693,4.574,0.812,0.0
Aadac,2.575,0.0,0.0,0.907,1.006,1.137,5.0,0.0,1.0170000000000001,0.797,1.7619999999999998
Aadacl3,2.5639999999999996,0.0,0.0,0.0,0.0,0.0,0.562,0.0,0.0,0.0,1.445
Aadat,1.492,0.915,1.244,1.663,4.376,0.987,0.281,0.0,2.778,0.0,0.0
Aaed1,0.716,0.0,0.0,0.7190000000000001,1.785,0.562,0.0,0.0,0.7190000000000001,0.0,0.0
Aagab,2.2430000000000003,0.84,1.331,4.357,1.055,0.0,0.541,0.0,4.322,0.0,0.0
Aak1,0.91,4.291,1.3219999999999998,4.061,0.7959999999999999,0.0,0.718,1.516,3.051,1.048,1.247
Aamdc,2.824,0.0,0.973,0.8240000000000001,0.92,0.0,0.0,0.809,0.7190000000000001,0.996,0.8320000000000001
Aamp,1.22,0.0,0.61,1.7819999999999998,0.0,0.0,0.0,0.0,1.3119999999999998,0.0,0.0
Aanat,3.1489999999999996,1.7180000000000002,1.757,2.2359999999999998,1.609,0.24100000000000002,1.04,0.9059999999999999,4.41,1.072,0.759
Aar2,0.0,0.0,0.0,3.84,0.281,0.7240000000000001,0.0,0.0,2.1590000000000003,0.516,0.0
Aard,1.013,0.0,0.0,0.75,0.938,0.625,0.0,0.0,0.938,0.0,0.0
Aars,1.426,1.381,1.472,2.681,3.7680000000000002,0.73,1.416,0.922,4.711,1.177,1.567
Aars2,0.562,0.281,0.904,1.133,5.0,0.0,0.845,0.0,2.9739999999999998,0.281,0.0
Aarsd1,0.782,0.0,0.0,2.327,0.885,0.0,0.8170000000000001,0.0,3.252,0.0,0.0
Aasdh,0.0,1.712,0.0,1.699,1.9240000000000002,0.862,0.188,0.0,2.197,0.0,0.0
Aasdhppt,1.2109999999999999,1.304,1.3,1.8419999999999999,3.017,0.0,0.872,0.561,1.719,1.0759999999999998,0.627
Aass,0.774,0.752,0.852,1.5490000000000002,5.0,0.605,0.0,0.0,2.269,0.0,0.0
Aatf,0.863,0.915,1.276,5.0,1.13,0.0,1.0290000000000001,0.0,4.428,0.0,4.203
Aatk,2.3,2.542,0.991,1.22,0.715,0.281,5.0,1.219,0.9790000000000001,0.0,0.55
Abat,0.691,0.764,0.713,0.785,4.26,0.0,0.0,0.0,0.99,0.0,0.0
Abca1,3.0589999999999997,5.0,2.001,2.5340000000000003,2.3040000000000003,2.3369999999999997,2.339,4.436,2.3280000000000003,2.364,5.0
Abca12,1.3869999999999998,3.5989999999999998,0.868,1.038,0.858,1.35,1.195,0.95,1.094,1.079,2.306
Abca13,0.9620000000000001,3.2910000000000004,0.767,0.9309999999999999,0.728,0.903,0.8959999999999999,0.0,0.769,0.0,0.55
Abca14,0.5,3.217,0.0,0.0,0.0,0.754,0.0,0.0,0.0,0.0,0.795
Abca15,0.0,3.0,0.0,0.0,0.0,0.7709999999999999,0.0,0.0,0.0,0.0,0.498
Abca16,0.0,3.0,0.0,0.0,0.0,0.821,0.0,0.0,0.0,0.0,1.2690000000000001
Abca17,0.5870000000000001,3.3369999999999997,0.0,0.0,0.581,0.912,5.0,0.621,0.536,0.0,0.625
Abca2,1.3030000000000002,4.707,4.207,1.224,1.151,1.218,1.2770000000000001,4.323,1.0590000000000002,4.348,1.419
Abca3,2.016,4.7589999999999995,1.9869999999999999,1.959,1.7519999999999998,1.354,1.6580000000000001,1.453,1.651,1.673,1.5130000000000001
Abca4,1.705,5.0,1.581,1.6340000000000001,1.614,0.982,4.285,1.219,1.617,1.7380000000000002,1.729
Abca5,1.052,3.449,0.7390000000000001,0.8909999999999999,0.833,1.157,0.948,4.19,0.685,4.263999999999999,4.123
Abca6,0.888,3.358,0.521,4.115,0.61,0.795,0.7290000000000001,0.503,0.927,0.7709999999999999,0.614
Abca7,1.837,5.0,1.4669999999999999,1.364,1.528,1.099,1.7719999999999998,3.6010000000000004,1.28,1.556,4.3260000000000005
Abca8a,0.0,4.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5489999999999999,0.0
